NAMESPACE           NAME                                                              READY   STATUS    RESTARTS   AGE
amazon-cloudwatch   amazon-cloudwatch-observability-controller-manager-c996f64mdkz5   1/1     Running   0          11m
amazon-cloudwatch   cloudwatch-agent-49nd2                                            1/1     Running   0          11m
amazon-cloudwatch   cloudwatch-agent-flng4                                            1/1     Running   0          11m
amazon-cloudwatch   fluent-bit-d8j2z                                                  1/1     Running   0          11m
amazon-cloudwatch   fluent-bit-fhbl9                                                  1/1     Running   0          11m
kube-system         aws-node-6wdxx                                                    2/2     Running   0          11m
kube-system         aws-node-9sg98                                                    2/2     Running   0          11m
kube-system         coredns-6976d5bf49-jt54w                                          1/1     Running   0          27m
kube-system         coredns-6976d5bf49-tnb9j                                          1/1     Running   0          32m
kube-system         kube-proxy-qvfhj                                                  1/1     Running   0          13m
kube-system         kube-proxy-r4899                                                  1/1     Running   0          13m
